model,mixture_type,sample,source_label,q025,q25,median,q75,q975,true_proportion,p50_hit,p95_hit,w50,w95,e50,e95,ae50,ae95,crps
BMM,Laboratory,mel2,Cropland,0.0,1.5951324462692984e-17,0.09923266320074273,0.31170891800784895,0.7294181990015169,0.0,False,True,0.31170891800784895,0.7294181990015169,1.5951324462692984e-17,0.0,1.5951324462692984e-17,0.0,0.06885532246212335
BMM,Laboratory,mel2,Decontaminated,0.0,0.3724694067892702,0.537955055606486,0.6985629694097103,0.9390532201218826,1.0,False,False,0.3260935626204401,0.9390532201218826,-0.3014370305902897,-0.06094677987811736,0.3014370305902897,0.06094677987811736,0.3417349984482927
BMM,Laboratory,mel2,Forest,0.0,6.46455545344482e-18,0.04478382363251565,0.1659806839577229,0.4296176209197531,0.0,False,True,0.1659806839577229,0.4296176209197531,6.46455545344482e-18,0.0,6.46455545344482e-18,0.0,0.0343264221964448
BMM,Laboratory,mel2,Subsurface,0.0,0.06717816851722849,0.17587185635389502,0.30247706500142546,0.5841946156543942,0.0,False,True,0.23529889648419697,0.5841946156543942,0.06717816851722849,0.0,0.06717816851722849,0.0,0.10908133248957327
BMM,Laboratory,mel20,Cropland,0.0,1.0672615135404184e-17,0.07597245468764222,0.2833321485571676,0.7042519421173027,0.125,True,True,0.2833321485571676,0.7042519421173027,0.0,0.0,0.0,0.0,0.05505293177381934
BMM,Laboratory,mel20,Decontaminated,0.0,6.508601166702044e-17,0.16169943088904767,0.3403780226572716,0.7524250470913639,0.0,False,True,0.3403780226572715,0.7524250470913639,6.508601166702044e-17,0.0,6.508601166702044e-17,0.0,0.09238110871162392
BMM,Laboratory,mel20,Forest,0.0,6.281596336837891e-18,0.03843320084037735,0.1794785898415637,0.5399097493162756,0.0,False,True,0.1794785898415637,0.5399097493162756,6.281596336837891e-18,0.0,6.281596336837891e-18,0.0,0.0364142885153322
BMM,Laboratory,mel20,Subsurface,0.007643133242843273,0.3322576021667484,0.5173336372953157,0.6922464803951734,0.9448455083319285,0.875,False,True,0.35998887822842507,0.9372023750890852,-0.18275351960482655,0.0,0.18275351960482655,0.0,0.23630348928377157
BMM,Laboratory,mel22,Cropland,0.0,0.06547778960096139,0.2710865107517037,0.4432481016460165,0.7755467802368858,0.375,True,True,0.3777703120450551,0.7755467802368858,0.0,0.0,0.0,0.0,0.07871940555392634
BMM,Laboratory,mel22,Decontaminated,0.0,0.1177181883013231,0.2889333802103995,0.4575246421605575,0.8102735297872029,0.0,False,True,0.33980645385923436,0.8102735297872029,0.1177181883013231,0.0,0.1177181883013231,0.0,0.17644176602299974
BMM,Laboratory,mel22,Forest,0.0,6.5052130349130266e-18,0.038791526026149166,0.17797214461549676,0.4546859995270306,0.0,False,True,0.17797214461549676,0.4546859995270306,6.5052130349130266e-18,0.0,6.5052130349130266e-18,0.0,0.03514564040566348
BMM,Laboratory,mel22,Subsurface,0.0,0.16254205570285096,0.303685880134842,0.4353942641151621,0.6955768116975548,0.625,False,True,0.2728522084123111,0.6955768116975548,-0.18960573588483792,0.0,0.18960573588483792,0.0,0.21897960819493012
BMM,Laboratory,mel24,Cropland,0.0,0.15933830940721336,0.338893502761801,0.5131636902831409,0.8185506452294956,0.625,False,True,0.3538253808759275,0.8185506452294956,-0.1118363097168591,0.0,0.1118363097168591,0.0,0.17579637881254426
BMM,Laboratory,mel24,Decontaminated,0.0,0.15629364534349666,0.3172563342122272,0.49122337628096296,0.8120083711285523,0.0,False,True,0.3349297309374663,0.8120083711285523,0.15629364534349666,0.0,0.15629364534349666,0.0,0.20394829977898898
BMM,Laboratory,mel24,Forest,0.0,2.9849441061241544e-17,0.10065772291159773,0.22372049778226222,0.49536451791329117,0.0,False,True,0.2237204977822622,0.49536451791329117,2.9849441061241544e-17,0.0,2.9849441061241544e-17,0.0,0.05851505241200958
