sample,L,h,Si,Zn,Mn,K,Ti,y,C_star
mel59,3.5862522833519628,4.298238826263299,12.09107753250345,4.902455994582567,6.690606224715595,9.25720773636942,8.29044816256036,-0.9909196219897748,2.6397668514165518
mel60,3.8094409106041662,4.291674588585007,12.228583856202233,4.792976673012616,6.519648637170119,9.41351955491483,8.338422921332413,-0.962443888381516,3.0514322049642146
mel61,3.772316142406092,4.321169859716679,12.26632637504515,4.845446136042602,6.8702610745545565,9.510521257812403,8.51038607548326,-0.9712276060440295,2.916829732185417
mel62,3.6287318327178353,4.311598005390521,12.255684852682052,4.804021044733257,6.61729602038306,9.480923080022023,8.452095580683869,-0.9838942653668283,2.719559169453907
mel63,3.514226950809809,4.285345845688777,12.12180586233126,4.889897898613436,6.83130610681873,9.2475687170663,8.396906273661754,-0.9911281207568208,2.6049674560209257
mel64,3.8736444757148143,4.28880830562337,12.299726909607962,4.718498871295094,6.4079355343926805,9.464889562767018,8.33563294475217,-0.9577478968224443,3.136295297151803
mel65,3.8010497184872087,4.321624183261712,12.269982218921571,4.860199926164623,6.882704102115278,9.577771955277358,8.51845839071396,-0.970174634253921,2.944391019069005
mel66,3.6162652458161877,4.311986545760404,12.288040115045233,4.862831099327861,6.604824195767617,9.510933733848173,8.47035312457042,-0.9874704168027701,2.677262184926673
mel67,3.4434347328124995,4.270729158703753,12.094078509316255,4.973971309724664,6.838898112572549,9.16991309121287,8.408130274767094,-0.9905599335631216,2.5811523214288115
mel68,3.8721308374435153,4.295454264851957,12.295061524306998,4.756602889748301,6.486922693742851,9.470560030727606,8.344621549353878,-0.9592398464861298,3.1145987918088345
mel69,3.790283003170303,4.322330728194385,12.272407988915354,4.806395273201279,6.76149174700336,9.567533581592055,8.48295779091579,-0.9708112439207289,2.9309793198273955
mel70,3.6766228483571,4.310393816279008,12.194225747329597,4.859347179882474,6.513170761970184,9.417239900643171,8.395140805038059,-0.9813698417701695,2.776143334612982
mel71,3.7346698654250408,4.321969680032069,12.205749093192761,4.844344554374829,6.813587446450643,9.50845112619962,8.47075964823297,-0.9777570277988873,2.8339286622727746
