sample,source_label,estimated_proportion,true_proportion,ratio_objective
mel63,Subsurface,8.664300017464238e-18,0.1,0.0004575151825690396
mel63,Decontaminated,0.09970548039395608,0.1,0.0004575151825690396
mel63,Cropland,0.19548655215138813,0.1,0.0004575151825690396
mel63,Forest,0.7048079674546558,0.7,0.0004575151825690396
mel64,Subsurface,0.7757601022009593,0.85,0.002305241684398906
mel64,Decontaminated,0.02513927600067379,0.05,0.002305241684398906
mel64,Cropland,0.19910062179836696,0.05,0.002305241684398906
mel64,Forest,0.0,0.05,0.002305241684398906
mel65,Subsurface,0.0,0.05,0.0007610439041481944
mel65,Decontaminated,0.8771618542594312,0.85,0.0007610439041481944
mel65,Cropland,0.0838545206971639,0.05,0.0007610439041481944
mel65,Forest,0.03898362504340502,0.05,0.0007610439041481944
mel66,Subsurface,0.0,0.05,0.0007893759747529791
mel66,Decontaminated,0.05959098775281796,0.05,0.0007893759747529791
mel66,Cropland,0.9285745142286185,0.85,0.0007893759747529791
mel66,Forest,0.0118344980185636,0.05,0.0007893759747529791
mel67,Subsurface,0.0,0.05,0.0008746733869371866
mel67,Decontaminated,2.556695527512166e-18,0.05,0.0008746733869371866
mel67,Cropland,0.12288464824489712,0.05,0.0008746733869371866
mel67,Forest,0.8771153517551029,0.85,0.0008746733869371866
mel68,Subsurface,0.6762780673726524,0.7,0.0011358787152416132
mel68,Decontaminated,0.1465371083579298,0.2,0.0011358787152416132
mel68,Cropland,0.17718482426941784,0.1,0.0011358787152416132
mel68,Forest,2.9490510849842538e-18,0.0,0.0011358787152416132
mel69,Subsurface,0.09610917290113839,0.1,0.0016577805070533027
mel69,Decontaminated,0.6495720840480781,0.7,0.0016577805070533027
mel69,Cropland,0.2543187430507836,0.2,0.0016577805070533027
mel69,Forest,0.0,0.0,0.0016577805070533027
mel70,Subsurface,0.22462338594329603,0.2,0.0008373615072374402
mel70,Decontaminated,2.1907977785140444e-18,0.1,0.0008373615072374402
mel70,Cropland,0.6867221773063982,0.7,0.0008373615072374402
mel70,Forest,0.08865443675030583,0.0,0.0008373615072374402
mel71,Subsurface,2.4585131110882565e-18,0.0,0.0008501680084325938
mel71,Decontaminated,0.6292527999767257,0.7,0.0008501680084325938
mel71,Cropland,0.23438023650434306,0.2,0.0008501680084325938
mel71,Forest,0.13636696351893124,0.1,0.0008501680084325938
mel72,Subsurface,0.025949257087660743,0.0,0.001391205067826396
mel72,Decontaminated,0.055005689908256314,0.1,0.001391205067826396
mel72,Cropland,0.6299474087188026,0.7,0.001391205067826396
mel72,Forest,0.2890976442852803,0.2,0.001391205067826396
mel73,Subsurface,6.285196226863722e-18,0.0,0.002116875577897784
mel73,Decontaminated,0.10933107231405176,0.2,0.002116875577897784
mel73,Cropland,0.13602097010038014,0.1,0.002116875577897784
mel73,Forest,0.7546479575855681,0.7,0.002116875577897784
mel74,Subsurface,0.5460955674198767,0.7,0.00036576245283277356
mel74,Decontaminated,5.205335098232896e-18,0.0,0.00036576245283277356
mel74,Cropland,0.3789060699400372,0.2,0.00036576245283277356
mel74,Forest,0.07499836264008612,0.1,0.00036576245283277356
mel75,Subsurface,0.012686285759481825,0.1,0.0005795368792575209
mel75,Decontaminated,0.0,0.0,0.0005795368792575209
mel75,Cropland,0.8656449381012092,0.7,0.0005795368792575209
mel75,Forest,0.12166877613930897,0.2,0.0005795368792575209
mel76,Subsurface,0.11489386844883705,0.2,0.0007330311088174471
mel76,Decontaminated,0.0,0.0,0.0007330311088174471
mel76,Cropland,0.2165492347935486,0.1,0.0007330311088174471
mel76,Forest,0.6685568967576144,0.7,0.0007330311088174471
mel77,Subsurface,0.5573543824147933,0.7,0.000529699329872726
mel77,Decontaminated,0.3033998369931663,0.2,0.000529699329872726
mel77,Cropland,0.11620881218889714,0.0,0.000529699329872726
mel77,Forest,0.023036968403143353,0.1,0.000529699329872726
mel78,Subsurface,0.057107058909382086,0.1,9.400923926124653e-05
mel78,Decontaminated,0.5773532414424433,0.7,9.400923926124653e-05
mel78,Cropland,0.16676706632445326,0.0,9.400923926124653e-05
mel78,Forest,0.1987726333237215,0.2,9.400923926124653e-05
mel79,Subsurface,0.2453162399462115,0.2,0.00598880972433175
mel79,Decontaminated,1.7854925132528617e-17,0.1,0.00598880972433175
mel79,Cropland,7.370880707006922e-18,0.0,0.00598880972433175
mel79,Forest,0.7546837600537886,0.7,0.00598880972433175
mel80,Subsurface,0.8355705663279442,0.9,0.0007956892437658357
mel80,Decontaminated,0.150337043317952,0.1,0.0007956892437658357
mel80,Cropland,0.0,0.0,0.0007956892437658357
mel80,Forest,0.014092390354103755,0.0,0.0007956892437658357
mel81,Subsurface,0.04743532126789251,0.1,0.005506644013470843
mel81,Decontaminated,0.9525646787321076,0.9,0.005506644013470843
mel81,Cropland,0.0,0.0,0.005506644013470843
mel81,Forest,3.4643647542700884e-18,0.0,0.005506644013470843
mel82,Subsurface,0.8955010981588774,0.9,0.0004054263287503128
mel82,Decontaminated,0.0,0.0,0.0004054263287503128
mel82,Cropland,0.09809934210230793,0.1,0.0004054263287503128
mel82,Forest,0.006399559738814775,0.0,0.0004054263287503128
mel83,Subsurface,0.035574623858097315,0.1,0.00023069720655128948
mel83,Decontaminated,0.0,0.0,0.00023069720655128948
mel83,Cropland,0.9644253761419027,0.9,0.00023069720655128948
mel83,Forest,3.779461010648688e-18,0.0,0.00023069720655128948
mel84,Subsurface,0.7858863819166293,0.9,0.0017742288928245982
mel84,Decontaminated,0.21017949443175957,0.0,0.0017742288928245982
mel84,Cropland,3.876763920464525e-19,0.0,0.0017742288928245982
mel84,Forest,0.003934123651610993,0.1,0.0017742288928245982
mel85,Subsurface,0.019570855707406375,0.1,0.00041542078878527066
mel85,Decontaminated,0.0347953614365467,0.0,0.00041542078878527066
mel85,Cropland,9.213600883758652e-19,0.0,0.00041542078878527066
mel85,Forest,0.9456337828560469,0.9,0.00041542078878527066
mel86,Subsurface,0.0,0.0,0.003732433013867694
mel86,Decontaminated,1.0,0.9,0.003732433013867694
mel86,Cropland,2.7851468356694974e-17,0.1,0.003732433013867694
mel86,Forest,0.0,0.0,0.003732433013867694
mel87,Subsurface,1.8794602308388857e-18,0.0,0.0002925076503957627
mel87,Decontaminated,0.03150780706724333,0.1,0.0002925076503957627
mel87,Cropland,0.9031159784211068,0.9,0.0002925076503957627
mel87,Forest,0.06537621451164992,0.0,0.0002925076503957627
mel88,Subsurface,0.1106354028612345,0.0,0.00015130217575864033
mel88,Decontaminated,0.6318422812590229,0.9,0.00015130217575864033
mel88,Cropland,0.12390028239741611,0.0,0.00015130217575864033
mel88,Forest,0.13362203348232657,0.1,0.00015130217575864033
mel89,Subsurface,0.0,0.0,0.0010908621435680322
mel89,Decontaminated,0.07551398400493077,0.1,0.0010908621435680322
mel89,Cropland,0.0,0.0,0.0010908621435680322
mel89,Forest,0.9244860159950692,0.9,0.0010908621435680322
mel90,Subsurface,2.2550558154751235e-17,0.0,0.0003139510214478779
