sample,source,type,Mg,Al,Si,K,Ca,Ti,Mn,Fe,Ni,Cu,Zn,Sr,L_star,a_star,b_star,C_star,h,x,y,z,L,a,b,u_star,v_star,u_prime,v_prime
mel36,melange,target,4492.52,82447.77,175480.7,10915.16,9310.06,4582.29,946,50499.23,51.59,41.56,134.22,97.25,42.01563765,3.988145992,13.61359793,14.18601272,73.6672865,0.37013902,0.3722904,0.25757058,35.37207234,2.958753456,8.384415061,12.13558227,15.57543001,0.220083626,0.498067533
mel38,melange,target,4481.24,89936.12,183729.8,11479.94,8773.12,4381.99,924.29,47755.31,36.42,37.22,127.63,87.52,46.3109128,4.1266108,15.29471846,15.84168835,74.89816313,0.371803024,0.374616803,0.253580173,39.37068496,3.171212865,9.699470904,13.4905665,17.94396405,0.22026892,0.499355875
mel40,melange,target,4894.73,111598.5,213620,13963.8,9322.9,5105.99,971.27,52007.73,47.98,45.92,127.58,93.81,51.64262415,4.734507051,18.12181325,18.73009175,75.35883688,0.376687933,0.378559831,0.244752236,44.52941643,3.794070635,11.81088657,16.15758463,21.66401236,0.221928613,0.501821198
mel41,melange,target,3768.11,82354.11,181736.8,9242.59,9165.67,4296.62,965.33,51688.93,36.51,37.37,133.51,96.34,38.01433887,4.513849222,13.46696368,14.20347677,71.47087057,0.375320193,0.373700076,0.250979731,31.77506991,3.24253969,7.932906585,12.39754844,14.78471812,0.222948324,0.49946839
mel43,melange,target,3298.4,92062.59,185827.6,10149.56,7802.93,4325.04,814.52,50789.3,33.56,47.08,126.35,90.97,43.72777365,4.646953467,14.95828875,15.66401249,72.73550646,0.374611154,0.374467838,0.250921008,36.9468868,3.505598919,9.258595094,13.82209466,17.14047085,0.222176118,0.499704746
mel45,melange,target,3417.65,104523.6,193586.2,11105.51,6297.51,4017.41,696.77,48752.75,41.82,28.31,123.37,77.77,49.29181213,5.434297031,18.19941308,18.99342836,73.37468959,0.380873702,0.379317927,0.239808371,42.22813213,4.291606822,11.57703167,16.98740284,21.28772528,0.224370989,0.502772709
mel47,melange,target,3310.72,115062,203418.8,12357.7,5073.87,4202.25,639.55,50229.73,49.85,20.26,116.12,71.63,54.31094364,6.931399837,21.83898934,22.91271767,72.38843816,0.389356513,0.383729327,0.22691416,47.19053083,5.700583307,14.13793689,21.39258051,25.69313789,0.228159351,0.505939288
mel48,melange,target,5071.38,97979.82,206387.6,12458.18,9480.59,4878.01,896.79,50513.47,61.66,52.03,122.59,95.89,45.15042074,4.067802403,14.71727554,15.26919317,74.5514397,0.370948533,0.373673268,0.255378199,38.2765381,3.09656643,9.271718353,13.03432462,17.16802092,0.220075668,0.4988082
mel49,melange,target,3718.41,85654.08,178428.1,10776.76,7518.12,4139.39,726.16,45659.1,36.04,36.93,115.97,85.78,45.94419406,4.564133523,15.89833403,16.54065216,73.98134761,0.375142413,0.376053533,0.248804055,39.02372657,3.502898311,9.984338642,14.35620416,18.47694005,0.221900361,0.500488425
mel50,melange,target,3899.89,97599.96,192580.6,11739.69,8205.46,4351.58,821.09,48499.82,45.3,35.02,122.93,85.48,48.59797478,4.508436561,16.20871426,16.82405116,74.45739448,0.373429424,0.375331455,0.251239121,41.55777338,3.530257545,10.42912347,14.65079681,19.17718686,0.22105708,0.499913239
mel51,melange,target,4705.95,103887.1,208422.9,13514.74,8295.4,4661.3,783.37,49255.3,31.98,34.83,128.29,86.63,49.20572968,4.7842704,17.24146269,17.89300383,74.49133999,0.376568223,0.377565267,0.24586651,42.14494244,3.767140589,11.05676936,15.59498187,20.35125734,0.222241264,0.501366836
mel52,melange,target,4215.93,105289.3,207634.5,12402.52,7882.04,4398.57,802.48,50073.55,35.04,40.37,126.48,83.36,48.56226974,4.989403693,17.46225244,18.16114003,74.05320538,0.378350936,0.378337583,0.243311481,41.52375332,3.912681013,11.10184849,15.93528041,20.46491115,0.223105531,0.501969899
mel53,melange,target,4750.76,107231.6,214790.4,13191.38,8829.83,4757.83,835.82,50368.56,31.76,27.43,124.19,87.81,48.55991937,4.490957718,16.64811038,17.24323065,74.90422269,0.374712774,0.376684858,0.248602369,41.52132961,3.515562736,10.6653846,14.83929406,19.66430233,0.221369815,0.500703814
mel54,melange,target,5331.47,104249.6,217050,12701.27,8960.21,4661.16,799.8,49737.51,41.44,28.91,134.21,92.43,46.39646792,4.366993163,15.68650393,16.28320874,74.44357307,0.373544859,0.37540124,0.2510539,39.45100656,3.360980919,9.918672453,14.01971898,18.34222599,0.221106804,0.499962728
mel55,melange,target,4559.45,100193.4,212093,12320.07,8943.2,4683.4,873.79,50650.14,41.87,37.58,132.69,91.8,45.9072426,3.986293925,13.54986547,14.12489644,73.57018051,0.366434569,0.369662854,0.263902578,38.99010772,3.051790394,8.696280757,12.40460656,15.9644571,0.218661665,0.496326066
mel56,melange,target,4329.15,110257,210109,12641.12,6983.76,4300.22,709.06,49894.07,61.63,50.81,121.79,83.04,50.2994553,5.450654981,18.53359631,19.31855649,73.61066014,0.380865725,0.379571008,0.239563267,43.21103828,4.336475321,11.87466673,17.26391924,21.7936523,0.224265474,0.502882063
