theta,rho,y,surface_charge_density
1.2818538586553672,0.4792728716038288,0.6424693459822842,-2.576060142487742
1.2923608574968046,0.48074331440834345,0.6374258551062377,-2.5790127467737802
1.302867856338242,0.4821606850695783,0.6323671929642497,-2.583864002156798
1.3133748551796793,0.4835248271154691,0.6272939180124316,-2.5936613663145733
1.3238818540211168,0.48483558995017834,0.6222065903200908,-2.6044439695580768
1.3343888528625543,0.48609282887072014,0.6171057715079011,-2.6154419894981045
1.3448958517039917,0.48729640508293537,0.6119920246859024,-2.6283147673801546
1.3554028505454292,0.48844618571681353,0.6068659143913349,-2.6418994261830027
1.3659098493868667,0.48954204384116146,0.6017280065263169,-2.6473192812633086
1.3764168482283041,0.4905838584776157,0.5965788682953715,-2.6531398131936172
1.3869238470697414,0.4915715146139983,0.5914190681428098,-2.6642628608080456
1.3974308459111788,0.49250490321701346,0.5862491756899753,-2.677975564583004
1.4079378447526163,0.49338392124428454,0.5810697616723624,-2.6897539362844696
1.4184448435940538,0.4942084716557295,0.5758813978766076,-2.6985515633820722
1.4289518424354912,0.4949784634242736,0.5706846570773675,-2.7083018137103836
1.4394588412769287,0.4956938115458987,0.5654801129740862,-2.720189395625444
1.4499658401183662,0.496354437049027,0.5602683401276615,-2.732157623917853
1.4604728389598036,0.49696026700323953,0.5550499138970157,-2.7451852504022587
1.4709798378012409,0.49751123452732726,0.5498254103755783,-2.7593814844040434
1.4814868366426783,0.49800727879667434,0.5445954063276869,-2.7718982625565225
1.4919938354841158,0.49844834504997315,0.5393604791249157,-2.7834269842396164
1.5025008343255533,0.4988343845952696,0.5341212066823355,-2.7956044104468853
1.5130078331669907,0.4991653548153386,0.5288781673947143,-2.8077850623978566
1.5235148320084282,0.4994412191723887,0.5236319400726643,-2.820779311500285
1.5340218308498657,0.4996619472120959,0.5183831038787449,-2.8367013124070035
1.544528829691303,0.49982751456696545,0.5131322382635236,-2.8536350519231344
1.5550358285327404,0.4999379029590222,0.5078799229016082,-2.869639632890882
1.5655428273741778,0.49999310020182824,0.5026267376276531,-2.8861461543043343
1.5760498262156153,0.49999310020182824,0.497373262372347,-2.9025024445024727
1.5865568250570528,0.49993790295902224,0.49212007709839184,-2.9186913530146605
1.5970638238984902,0.49982751456696545,0.4868677617364765,-2.9349785257308736
1.6075708227399277,0.4996619472120959,0.48161689612125513,-2.9490679614917017
1.6180778215813651,0.4994412191723887,0.47636805992733555,-2.96425480342351
1.6285848204228024,0.4991653548153386,0.47112183260528584,-2.979715372567913
1.6390918192642399,0.4988343845952696,0.4658787933176646,-2.996166551981436
1.6495988181056773,0.49844834504997315,0.46063952087508436,-3.0169861462715675
1.6601058169471148,0.49800727879667434,0.4554045936723132,-3.0403187365102298
1.6706128157885523,0.49751123452732726,0.45017458962442175,-3.062378561350834
1.6811198146299897,0.49696026700323953,0.4449500861029842,-3.0827624102733635
1.6916268134714272,0.496354437049027,0.4397316598723384,-3.1045576382655287
1.7021338123128644,0.4956938115458987,0.43451988702591393,-3.1260020596553075
1.712640811154302,0.4949784634242736,0.4293153429226326,-3.1485090043903607
1.7231478099957394,0.4942084716557295,0.4241186021233925,-3.168933670548212
1.7336548088371768,0.49338392124428454,0.4189302383276377,-3.190450332010999
1.7441618076786143,0.49250490321701346,0.41375082431002475,-3.2114276318776698
1.7546688065200517,0.4915715146139983,0.40858093185719035,-3.232003672462564
1.7651758053614892,0.4905838584776157,0.40342113170462834,-3.2542994888739636
1.7756828042029267,0.48954204384116146,0.3982719934736831,-3.279094245465423
1.786189803044364,0.48844618571681353,0.3931340856086652,-3.304890377394276
1.7966968018858014,0.48729640508293537,0.38800797531409764,-3.330244746656243
1.8072038007272389,0.4860928288707202,0.38289422849209886,-3.3574587111562075
1.8177107995686763,0.4848355899501784,0.37779340967990926,-3.385357078221624
1.8282177984101138,0.4835248271154692,0.3727060819875684,-3.4135498082376485
1.8387247972515512,0.4821606850695783,0.3676328070357503,-3.4429031609480556
1.8492317960929887,0.4807433144083434,0.36257414489376216,-3.4747745284906713
1.859738794934426,0.47927287160382886,0.3575306540177158,-3.508116420422424
1.8702457937758634,0.47774951898705165,0.35250289118887523,-3.5376908134081306
1.8807527926173009,0.47617342473006113,0.34749141145219126,-3.5686367482317327
1.8912597914587383,0.47454476282737307,0.3424967680550261,-3.6028386339815515
1.9017667903001758,0.4728637130767616,0.3375195123860774,-3.637520479835745
1.9122737891416133,0.47113046105941025,0.3325601939145069,-3.674063597048394
1.9227807879830507,0.46934519811942427,0.32761936012928145,-3.7104971436762417
1.9332877868244882,0.4675081213427074,0.32269755647873216,-3.7482652641804037
